review_text,fake_prob,cleaned,word_count,is_short,is_non_english,raw_fake_prob,cal_fake_prob,label_current_app.py,label_youden's_j,label_cost-sensitive,label_natural_valley,label_percentile,label_conservative,label_recommended,label_strict
Great product . And specially the service - i really appreciate the company trying to help and satisfy the consumer. Go for it product under this budget,0.907664120197296,Great product . And specially the service - i really appreciate the company trying to help and satisfy the consumer. Go for it product under this budget,27,False,False,4.351405004854314e-05,0.0002989135777316054,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"Likes: 1. Minimalistic Design (nearly premium....at least) 2. Good sound quality (in this price range...... however not comparable to my boat rokerz 518 headphones) 3. Bud's build quality Dislikes: 1. As everyone saying, 100% volume boost after every time you connect. And Magnetic pull is little bit weak (but it doesn't mean you lose your bud/s) My experience with Airpods Plus 311 1. Voice calling issue (sometimes) 2. Battery backup is really great(without case) 3. Wearable time may vary person to person, by for me it was 4 hours. 4. I don't think it is good to say that it has good noise cancellation system 🤔 At last......I satisfied, worthy product for 900 INR Now, I'm writing this review after 17 days usage.:.... Problems: 1. Charging issue with buds ( Even after put them into case) 2. While listening music buds are not in sync (yes! Bro I have shut them down several times as instructed in manual, still syncing problem remains) 3. Buds remain connected even after putting them in case. So , I'm lowering my ratting for this product to 3 stars.",0.8775249123573303,"Likes: 1. Minimalistic Design (nearly premium....at least) 2. Good sound quality (in this price range...... however not comparable to my boat rokerz 518 headphones) 3. Bud's build quality Dislikes: 1. As everyone saying, 100% volume boost after every time you connect. And Magnetic pull is little bit weak (but it doesn't mean you lose your bud/s) My experience with Airpods Plus 311 1. Voice calling issue (sometimes) 2. Battery backup is really great(without case) 3. Wearable time may vary person to person, by for me it was 4 hours. 4. I don't think it is good to say that it has good noise cancellation system 🤔 At last......I satisfied, worthy product for 900 INR Now, I'm writing this review after 17 days usage.:.... Problems: 1. Charging issue with buds ( Even after put them into case) 2. While listening music buds are not in sync (yes! Bro I have shut them down several times as instructed in manual, still syncing problem remains) 3. Buds remain connected even after putting them in case. So , I'm lowering my ratting for this product to 3 stars.",184,False,True,6.860946450615302e-05,0.00043181561722443416,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"value for money, mic quality , amazing sound quality",0.9226829409599304,"value for money, mic quality , amazing sound quality",9,False,False,0.08013410121202469,0.12215894230625654,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Product is good. Working hours is good. Sound not good. But it not working when I received and open it. After charging it. Then it's working. But when i received it. It look like used product. Don't buy it. Go for others like noise and boult,0.9207037091255188,Product is good. Working hours is good. Sound not good. But it not working when I received and open it. After charging it. Then it's working. But when i received it. It look like used product. Don't buy it. Go for others like noise and boult,46,False,False,1.7384232705808245e-05,0.0001424312451262387,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"Attractive box, confortable to wear, good sound experience",0.9851607084274292,"Attractive box, confortable to wear, good sound experience",8,False,False,0.004186670761555433,0.011873067524980607,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
"The earphone's sound quality was just average; microphone was bad and just a bad earphone overall. Better buy the Bassheads Pro (wired) which is cheaper and offer superior music quality. Also, a problem that I faced was that whenever I connected the earphones to any device, the sound would immediately jump up to 100% and it would straight up blare in my ears. The call quality was just bad and so was the sound quality, not recommended unless if you want wireless capability at a cheaper price, also don't buy it if selling for prices higher then 500 INR.",0.9574037790298462,"The earphone's sound quality was just average; microphone was bad and just a bad earphone overall. Better buy the Bassheads Pro (wired) which is cheaper and offer superior music quality. Also, a problem that I faced was that whenever I connected the earphones to any device, the sound would immediately jump up to 100% and it would straight up blare in my ears. The call quality was just bad and so was the sound quality, not recommended unless if you want wireless capability at a cheaper price, also don't buy it if selling for prices higher then 500 INR.",99,False,False,5.6358176152571104e-06,5.732263111737456e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Really impressed with these buds. Sound quality is great with strong bass and clear vocals. Noise cancellation works very well for daily use and blocks most background noise. Only small issue is slight sound leakage at high volume. Not a big deal though. Nice product at great price.,0.9836312532424928,Really impressed with these buds. Sound quality is great with strong bass and clear vocals. Noise cancellation works very well for daily use and blocks most background noise. Only small issue is slight sound leakage at high volume. Not a big deal though. Nice product at great price.,48,False,False,7.4162858254567254e-06,7.155955843360789e-05,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Nice product.. really happy with the order... Impressed by it's premium colour,0.0404991954565048,Nice product.. really happy with the order... Impressed by it's premium colour,12,False,False,9.601009514881298e-05,0.0005664675104806715,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
Though if you are a bass fan this is not for you,0.4264306724071502,Though if you are a bass fan this is not for you,12,False,False,0.004070145543664694,0.011607334338598589,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
These are value for money and really good quality,0.8920931816101074,These are value for money and really good quality,9,False,False,6.969700916670263e-05,0.0004373363851427015,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine,Genuine
